Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,20,Madhya Pradesh,Harda,53712,976,1330,51026,35966,29
1,India,20,Madhya Pradesh,Hoshangabad,213837,2933,4348,203145,163745,19
1,India,20,Madhya Pradesh,Indore,60089,3369,4183,57084,-12207,120
1,India,20,Madhya Pradesh,Jabalpur,62238,3141,5083,59126,28054,49
1,India,20,Madhya Pradesh,Jhabua,23214,2366,3142,22053,11254,45
1,India,20,Madhya Pradesh,Katni,41068,2549,3893,39015,21717,41
1,India,20,Madhya Pradesh,Khandwa,83818,2862,4793,79627,27936,62
1,India,20,Madhya Pradesh,Khargone,79640,3467,5062,75658,17425,75
1,India,20,Madhya Pradesh,Mandla,58603,2248,3200,55672,46255,15
1,India,20,Madhya Pradesh,Mandsaur,60232,3229,3219,57221,2029,96
1,India,20,Madhya Pradesh,Morena,64089,4289,7209,60885,33053,41
1,India,20,Madhya Pradesh,Narsimhapur,122679,2168,2708,116545,27907,76
1,India,20,Madhya Pradesh,Neemuch,42795,1749,1973,40656,6588,83
1,India,20,Madhya Pradesh,Panna,54629,2101,2925,51897,37441,26
1,India,20,Madhya Pradesh,Raisen,95013,3168,4393,90262,48775,45
1,India,20,Madhya Pradesh,Rajgarh,91148,3457,4291,86590,14004,83
1,India,20,Madhya Pradesh,Ratlam,77565,2382,2781,73687,-19312,126
1,India,20,Madhya Pradesh,Rewa,49413,4609,5970,46942,20402,54
1,India,20,Madhya Pradesh,Sagar,129102,2418,4642,122647,48012,59
1,India,20,Madhya Pradesh,Satna,57012,5167,5867,54162,13254,74
1,India,20,Madhya Pradesh,Sehore,78947,2585,5787,74999,14106,77
1,India,20,Madhya Pradesh,Seoni,74706,3029,4412,70970,49055,29
1,India,20,Madhya Pradesh,Shahdol,67862,1928,2679,64469,59485,7
1,India,20,Madhya Pradesh,Shajapur,104108,3583,3972,98902,1691,98
1,India,20,Madhya Pradesh,Sheopur,44606,1274,1690,42376,26467,37
1,India,20,Madhya Pradesh,Shivpuri,78621,3226,4152,74690,22621,68
1,India,20,Madhya Pradesh,Sidhi,35995,2433,3576,34195,19914,38
1,India,20,Madhya Pradesh,Singrauli,37558,2257,3608,35680,23517,30
1,India,20,Madhya Pradesh,Tikamgarh,58602,2348,3813,55672,14032,72
1,India,20,Madhya Pradesh,Ujjain,95883,3141,3935,91088,3594,95
1,India,20,Madhya Pradesh,Umaria,46386,1277,1873,44067,38534,11
1,India,20,Madhya Pradesh,Vidisha,93731,3585,5004,89045,39498,54
1,India,21,Maharashtra,Ahmednagar,196457,3403,6057,186132,40936,82
1,India,21,Maharashtra,Akola,42302,1197,2394,39979,20800,45
1,India,21,Maharashtra,Amravati,94987,2865,5055,89950,30342,68
1,India,21,Maharashtra,Aurangabad,119680,3257,6392,113647,29074,72
1,India,21,Maharashtra,Beed,142047,4761,9521,134803,61110,51
1,India,21,Maharashtra,Bhandara,54620,2316,4628,51409,32106,33
1,India,21,Maharashtra,Buldana,99839,2798,5392,94162,27268,70
