State,District,Semi Critical Block,Critical Block,Over Exploited Block
,Sangrur,-,-,Ahmedgarh
,,-,-,Andana
,,,,Barnala
,,-,-,Bhiwanigarh
,,-,,Dhuri
,,-,-,Lehraghaga
,,,,Mahal Kalan
,,-,-,Maler Kotla
,,-,-,Sangrur
,,,,Shena
,,-,-,Sherpur
,,-,-,Sunam
Rajasthan,Ajmer,-,Kekri,Arain
,,-,Masuda,Bhinai
,,-,-,Jawaja
,,-,-,Pisangan
,,-,-,Silora
,,-,-,Srinagar
,Alwar,-,Thanagazi,Behror
,,-,-,Bansur
,,-,-,Kathumar
,,-,-,Kishangarh
,,-,-,Kotkasim
,,-,-,Laxmangarh
,,-,-,Mandawar
,,-,-,Neemrana
,,-,-,Rajgarh
,,-,-,Ramgarh
,,-,-,Reni
,,-,-,Tijara
,,-,-,Umrain
,Banswara,Anandpuri,Garhi,
,,Bagidora,,
,,Ghatol,,
,,Kushalgarh,,
,,Sajjangarh,,
,,Tallwara,,
,,,,
,Baran,Chippabarod,Anta,Atru
,,,-,Baran
,Barmer,-,Chohtan,Baetu
,,-,Sindhri,Balotra
,,-,-,Dhorimanna
,,-,-,Siwana
,,-,-,Sheo
,Bharatpur,Bayana,,Nadbai
,,-,,Sewer
,,,,Weir
,Bhilwara,-,Kotri,Asind
,,-,Sahada,Banera
,,-,Shahpura,Hurda
,,-,-,Jahazpur
,,-,-,Mandal
,,-,-,Mandalgarh
,,-,-,Raipur
,,-,-,Sahada
,,-,-,Shahpura
,,-,-,Suwana
,Bikaner,-,Dungargarh,Bikaner
,,-,-,Nokha
,Bundi,-,Talera,Hindoli
,,-,Kesorai Patan,Nainwa
,Chittorgarh,Bhainsrorgarh,-,Arnod
,,-,-,Bari Sadri
,,-,-,Begun
,,-,-,Bhadesar
,,-,-,Bhoopalsagar
,,-,-,Choti Sadri
,,-,-,Chittorgarh
,,-,-,Dungla
,,-,-,Gangrar
,,-,-,Kapasan
,,-,-,Nimbahera
,,-,-,Rashmi
,,-,-,Rashmi
,Churu,,Sujangarh,Rajgarh
,,,,
,Dausa,-,-,Bandikui
,,-,-,Dausa
,,-,-,Lalsot
,,-,-,Mahua
,,-,-,Sikrai
,Dholpur,-,Baseri,Dholpur
,,-,-,Rajakhera
