"Country Code","Country","State Code","State","District","Annual Replenishable Ground Water Resource","Domestic & Industrial Water Supply","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use","Stage of Ground Water Development (%)"
"1","INDIA","17","KARNATAKA","UTTAR KANNADA","83421","2752","3256","32780","37"
"1","INDIA","17","KARNATAKA","YADGIR","41666","1607","2499","26500","28"
"1","INDIA","18","KERALA","ALAPPUZHA","48646","10040","10372","31927","29"
"1","INDIA","18","KERALA","ERNAKULAM","64499","13931","15296","32722","42"
"1","INDIA","18","KERALA","IDUKKI","21838","5496","5985","10796","43"
"1","INDIA","18","KERALA","KANNUR","53232","10939","11932","25137","46"
"1","INDIA","18","KERALA","KASARGOD","36544","6775","7798","8387","71"
"1","INDIA","18","KERALA","KOLLAM","46756","11933","13016","25190","38"
"1","INDIA","18","KERALA","KOTTYAM","49182","9214","10704","30375","29"
"1","INDIA","18","KERALA","KOZIKOD","37904","14024","15793","13469","56"
"1","INDIA","18","KERALA","MALAPPURAM","54531","20235","24392","16996","57"
"1","INDIA","18","KERALA","PALAKKAD","85814","13151","14197","28894","62"
"1","INDIA","18","KERALA","PATTANAMITTIA","27918","6004","6304","15534","37"
"1","INDIA","18","KERALA","THIRUVANANTHPURAM","35596","13316","14699","14187","53"
"1","INDIA","18","KERALA","TRISHUR","75505","13720","15216","30769","53"
"1","INDIA","18","KERALA","WAYANAD","30675","4319","4816","22139","18"
"1","INDIA","20","MADHYA PRADESH","ALIRAJPUR","21648","2162","2951","13813","29"
"1","INDIA","20","MADHYA PRADESH","ANUPPUR","40163","1162","1399","35738","6"
"1","INDIA","20","MADHYA PRADESH","ASHOKNAGAR","44168","1588","2414","20806","48"
"1","INDIA","20","MADHYA PRADESH","BALAGHAT","95825","3107","4114","77299","14"
"1","INDIA","20","MADHYA PRADESH","BARWANI","43475","3019","5004","9496","72"
"1","INDIA","20","MADHYA PRADESH","BETUL","119956","3594","4813","53580","52"
"1","INDIA","20","MADHYA PRADESH","BHIND","65972","2764","3718","36323","41"
"1","INDIA","20","MADHYA PRADESH","BHOPAL","39227","2356","3211","8336","75"
"1","INDIA","20","MADHYA PRADESH","BURHANPUR","34077","1147","1422","7446","76"
"1","INDIA","20","MADHYA PRADESH","CHHATARPUR","78778","2761","4012","23318","67"
"1","INDIA","20","MADHYA PRADESH","CHHINDWARA","139607","5274","7194","60477","53"
"1","INDIA","20","MADHYA PRADESH","DAMOH","42217","2113","3761","13484","62"
"1","INDIA","20","MADHYA PRADESH","DATIA","34756","1248","1928","16492","48"
"1","INDIA","20","MADHYA PRADESH","DEWAS","87646","2623","3582","14159","82"
"1","INDIA","20","MADHYA PRADESH","DHAR","103017","5005","6769","15840","82"
"1","INDIA","20","MADHYA PRADESH","DINDORI","44853","1384","1714","39040","8"
"1","INDIA","20","MADHYA PRADESH","GUNA","78949","2665","3389","32923","55"
"1","INDIA","20","MADHYA PRADESH","GWALIOR","52828","1979","3815","26662","43"
"1","INDIA","20","MADHYA PRADESH","HARDA","53712","976","1330","35966","29"
"1","INDIA","20","MADHYA PRADESH","HOSHANGABAD","213837","2933","4348","163745","19"
"1","INDIA","20","MADHYA PRADESH","INDORE","60089","3369","4183","-12207","120"
"1","INDIA","20","MADHYA PRADESH","JABALPUR","62238","3141","5083","28054","49"
"1","INDIA","20","MADHYA PRADESH","JHABUA","23214","2366","3142","11254","45"
"1","INDIA","20","MADHYA PRADESH","KATNI","41068","2549","3893","21717","41"
"1","INDIA","20","MADHYA PRADESH","KHANDWA","83818","2862","4793","27936","62"
"1","INDIA","20","MADHYA PRADESH","KHARGONE","79640","3467","5062","17425","75"
"1","INDIA","20","MADHYA PRADESH","MANDLA","58603","2248","3200","46255","15"
"1","INDIA","20","MADHYA PRADESH","MANDSAUR","60232","3229","3219","2029","96"
"1","INDIA","20","MADHYA PRADESH","MORENA","64089","4289","7209","33053","41"
"1","INDIA","20","MADHYA PRADESH","NARSHIMAPURA","122679","2168","2708","27907","76"
"1","INDIA","20","MADHYA PRADESH","NIMACH","42795","1749","1973","6588","83"
"1","INDIA","20","MADHYA PRADESH","PANNA","54629","2101","2925","37441","26"
"1","INDIA","20","MADHYA PRADESH","RAISEN","95013","3168","4393","48775","45"
"1","INDIA","20","MADHYA PRADESH","RAJGARH","91148","3457","4291","14004","83"
"1","INDIA","20","MADHYA PRADESH","RATLAM","77565","2382","2781","-19312","126"
"1","INDIA","20","MADHYA PRADESH","REWA","49413","4609","5970","20402","54"
"1","INDIA","20","MADHYA PRADESH","SAGAR","129102","2418","4642","48012","59"
"1","INDIA","20","MADHYA PRADESH","SATNA","57012","5167","5867","13254","74"
"1","INDIA","20","MADHYA PRADESH","SEHORE","78947","2585","5787","14106","77"
"1","INDIA","20","MADHYA PRADESH","SEONI","74706","3029","4412","49055","29"
"1","INDIA","20","MADHYA PRADESH","SHAHDOL","67862","1928","2679","59485","7"
"1","INDIA","20","MADHYA PRADESH","SHAJAPUR","104108","3583","3972","1691","98"
"1","INDIA","20","MADHYA PRADESH","SHEOPUR","44606","1274","1690","26467","37"
"1","INDIA","20","MADHYA PRADESH","SHIVPURI","78621","3226","4152","22621","68"
"1","INDIA","20","MADHYA PRADESH","SIDHI","35995","2433","3576","19914","38"
"1","INDIA","20","MADHYA PRADESH","SINGRAULI","37558","2257","3608","23517","30"
"1","INDIA","20","MADHYA PRADESH","TIKAMGARH","58602","2348","3813","14032","72"
"1","INDIA","20","MADHYA PRADESH","UJJAIN","95883","3141","3935","3594","95"
"1","INDIA","20","MADHYA PRADESH","UMARIA","46386","1277","1873","38534","11"
"1","INDIA","20","MADHYA PRADESH","VIDESHA","93731","3585","5004","39498","54"
"1","INDIA","21","MAHARASHTRA","AHMADNAGAR","196457","3403","6057","40936","82"
"1","INDIA","21","MAHARASHTRA","AKOLA","42302","1197","2394","20800","45"
"1","INDIA","21","MAHARASHTRA","AMARAVATI","94987","2865","5055","30342","68"
